datetime,temp,humidity,co2,light,sound,images,door,occupancy_level
2017-03-25 09:03:00,23.800000000000004,36.9,781.0,430.0,511.0,15.242696714328472,1.0,mid-level
2017-03-25 09:04:00,23.800000000000004,36.9,781.0,430.0,511.0,15.242696714328472,1.0,mid-level
2017-03-25 09:05:00,23.800000000000004,36.9,781.0,430.0,511.0,15.242696714328472,1.0,mid-level
2017-03-25 09:06:00,23.800000000000004,38.949999999999996,765.9,426.9,502.0,15.242696714328472,1.0,mid-level
2017-03-25 09:07:00,23.85,38.91,768.3,422.4,510.4,15.242696714328472,1.0,mid-level
2017-03-25 09:08:00,23.900000000000002,38.77272727272727,777.4545454545455,424.0,506.90909090909093,15.242696714328472,1.0,high
2017-03-25 09:09:00,23.910000000000004,38.730000000000004,770.8,438.1,500.7,15.242696714328472,1.0,high
2017-03-25 09:10:00,23.981818181818184,38.63636363636364,779.0,437.0,504.3636363636364,15.242696714328472,1.0,high
2017-03-25 09:11:00,24.009999999999998,38.650000000000006,787.0,431.4,503.4,15.242696714328472,1.0,high
2017-03-25 09:12:00,24.05454545454545,38.57272727272728,804.1818181818181,371.6363636363636,506.45454545454544,15.242696714328472,1.0,high
2017-03-25 09:13:00,24.099999999999998,38.54,803.8,409.2,508.4,15.087696819345885,1.0,high
2017-03-25 09:14:00,24.109999999999996,38.5,796.2,412.4,500.6,15.422978122485508,1.0,high
2017-03-25 09:15:00,24.13636363636363,38.44545454545454,789.4545454545455,403.8181818181818,504.0,14.799398337291734,1.0,high
2017-03-25 09:16:00,24.199999999999996,38.38,814.8,377.3,502.7,15.677033277882435,1.0,high
2017-03-25 09:17:00,24.199999999999992,38.23636363636363,818.7272727272727,378.54545454545456,506.1818181818182,15.010077552264681,1.0,high
2017-03-25 09:18:00,24.260000000000005,38.3,834.3,379.9,500.6,13.800700087918244,1.0,high
2017-03-25 09:19:00,24.300000000000008,38.27272727272727,835.9090909090909,409.90909090909093,505.54545454545456,14.076976789099048,1.0,high
2017-03-25 09:20:00,24.300000000000004,38.15000000000001,834.4,417.2,498.5,18.672728596248774,1.0,high
2017-03-25 09:21:00,24.340000000000003,38.11000000000001,841.9,415.2,505.3,16.30788743854744,1.0,high
2017-03-25 09:22:00,24.400000000000002,38.10909090909092,825.3636363636364,419.90909090909093,501.27272727272725,18.089044321886288,1.0,high
2017-03-25 09:23:00,24.400000000000002,38.01,834.2,410.6,503.7,14.034418740190132,1.0,high
